MATNR,MAKTX,MTART,MEINS,MATKL,NTGEW,GEWEI,CREATED_ON
MAT000001,Enhance Efficient E-Services,HAWA,KG,GRP05,485.95,KG,2023-12-25
MAT000002,Expedite Seamless Infrastructures,HALB,PC,GRP02,435.27,KG,2024-07-01
MAT000003,Iterate Robust Users,FERT,PC,GRP10,99.54,KG,2025-02-25
MAT000004,Streamline Strategic Relationships,FERT,EA,GRP09,476.75,KG,2022-11-10
MAT000005,Re-Intermediate Distributed Architecture,ROH,PC,GRP06,244.35,KG,2022-03-02
MAT000006,Grow Wireless Relationships,ROH,LT,GRP05,119.8,KG,2022-10-28
MAT000007,Monetize End-To-End Content,HALB,PC,GRP02,42.92,KG,2024-04-11
MAT000008,Maximize Bleeding-Edge Interfaces,HAWA,KG,GRP09,382.94,KG,2022-06-06
MAT000009,Benchmark Killer E-Markets,HALB,MT,GRP09,82.65,KG,2024-10-10
MAT000010,Enable Magnetic Web Services,HAWA,EA,GRP09,377.66,KG,2021-05-14
MAT000011,Utilize Vertical Systems,HALB,LT,GRP07,497.58,KG,2024-11-05
MAT000012,Reinvent Out-Of-The-Box Initiatives,FERT,MT,GRP09,225.8,KG,2022-05-08
MAT000013,Extend Value-Added Models,HALB,EA,GRP02,169.11,KG,2024-05-06
MAT000014,Unleash Turn-Key Relationships,HALB,PC,GRP04,3.69,KG,2025-01-28
MAT000015,Deliver Out-Of-The-Box E-Business,ROH,EA,GRP02,452.72,KG,2022-09-23
MAT000016,Transition Next-Generation Infrastructur,FERT,KG,GRP09,119.08,KG,2024-06-26
MAT000017,Deliver Wireless Web-Readiness,HAWA,EA,GRP09,66.24,KG,2021-11-07
MAT000018,Drive Mission-Critical Portals,HAWA,EA,GRP08,403.77,KG,2021-06-11
MAT000019,Extend Collaborative Initiatives,HALB,KG,GRP02,329.53,KG,2021-07-30
MAT000020,Engineer Killer Content,FERT,MT,GRP07,233.57,KG,2021-05-30
MAT000021,Implement Intuitive Initiatives,ROH,KG,GRP01,201.37,KG,2024-03-29
MAT000022,Synthesize Clicks-And-Mortar Metrics,FERT,KG,GRP04,95.88,KG,2022-02-16
MAT000023,Drive Global Functionalities,HAWA,EA,GRP07,91.83,KG,2023-11-06
MAT000024,Morph Holistic Relationships,HAWA,EA,GRP02,221.62,KG,2024-09-03
MAT000025,Streamline Magnetic Architectures,ROH,KG,GRP09,418.03,KG,2024-12-13
MAT000026,Deploy Intuitive E-Services,ROH,EA,GRP03,203.27,KG,2023-11-15
MAT000027,Maximize Revolutionary Models,HAWA,EA,GRP07,451.23,KG,2021-06-25
MAT000028,Monetize Granular Niches,HALB,MT,GRP01,492.66,KG,2024-03-29
MAT000029,Transform Distributed Communities,FERT,MT,GRP05,211.56,KG,2022-05-03
MAT000030,Target Collaborative Users,HAWA,EA,GRP04,148.42,KG,2024-02-16
MAT000031,Mesh Next-Generation E-Tailers,ROH,PC,GRP09,30.57,KG,2024-02-28
MAT000032,Architect End-To-End Paradigms,FERT,KG,GRP01,292.13,KG,2025-02-14
MAT000033,Transform Scalable Synergies,HALB,KG,GRP09,40.15,KG,2024-04-19
MAT000034,Re-Contextualize 24/365 Initiatives,HALB,KG,GRP10,34.07,KG,2023-02-09
MAT000035,Maximize E-Business Deliverables,HALB,MT,GRP02,470.8,KG,2023-06-08
MAT000036,Scale Cross-Platform Interfaces,HALB,PC,GRP10,19.97,KG,2023-12-31
MAT000037,Streamline Turn-Key Methodologies,ROH,MT,GRP10,282.66,KG,2024-05-07
MAT000038,E-Enable Web-Enabled Solutions,FERT,LT,GRP04,334.9,KG,2022-12-26
MAT000039,Revolutionize One-To-One Applications,FERT,EA,GRP05,197.95,KG,2022-10-09
